dom_dim 2
amb_dim 3
vertex_count 42
simplex_count 80
-0.1978952646792854 -0.9138450053607374 -0.3545768892564061
0.7923544942853882 -0.6056692004245908 -0.07306965883855966
-0.2923567892717461 0.7760399595481884 0.5588286758490136
-0.7012475832331864 0.7002052818003729 0.13403130361402874
-0.4080284085042662 0.408647596311031 -0.8164067367940399
-0.9729079851958248 0.14630951971028522 0.17900719757693118
-0.23174203840918256 -0.17872399992095425 -0.95621825933529
-0.19895435418266777 0.9797639224227204 -0.021904822998678138
0.11165191445242588 0.33377458897056467 -0.9360172935136609
0.25184569208882507 0.571864946255103 0.780733136622847
0.46612922838438214 -0.824469211634002 0.3208957175055279
0.6905608059380723 0.1779131776785829 0.7010511211819499
-0.5332125027212711 -0.5700779080144519 -0.6250564820362914
0.04675959223431427 -0.7338220977526696 0.6777305285907904
-0.7074702959467449 -0.03477325628131821 -0.7058871021633836
0.9622882929733285 0.16843226353751561 0.2136160429511475
-0.021655555195398232 0.8231275183104467 -0.5674434998563862
0.344065843814111 -0.9032804877666629 -0.25632607268965724
0.8386989344516211 0.4995581066640179 -0.21685431841671363
0.2265666961491084 0.03719478402623461 0.973285199844999
-0.7056181424166775 0.38553017760615155 0.5945330262041013
-0.2609349089543314 0.3020231278897479 0.9168942160951218
-0.9179707328708755 -0.2981507419249994 -0.26160250129171186
-0.891012571125958 0.3164804625207976 -0.32547920815027753
0.9605793636793438 -0.1158583411002923 -0.25271353519523887
-0.09117588341153336 -0.9789098231465708 0.18281826066144527
-0.4866386219011533 -0.6969478044777107 0.5267320091923835
-0.8788452544691513 -0.3814853579132052 0.28653087162622864
0.8527329865679126 -0.33657911331566254 0.3994508156189078
0.6827780259867141 0.6481780378307822 0.33716375621279815
-0.19460519008664828 -0.3125981136968577 0.9297371882981266
0.32642265191647585 -0.17106565448071218 -0.9296154012132658
-0.632521967663686 -0.7732343284580677 -0.0449959300032815
0.6240587499464355 -0.5045612011908681 -0.5966311011572566
-0.6658594295757447 -0.14215608390385695 0.7324089485077196
0.07093560925902671 -0.649580829881083 -0.7569761454564169
0.48391288895593243 0.5997825129703774 -0.6372513264303672
0.7240818076320211 0.10882047024700073 -0.6810753564118778
0.47680324810750074 -0.40808088722856317 0.7785426462775729
0.2004586484950055 0.9143959719735243 0.35170489999735566
0.4041413177685403 0.9004994803115168 -0.16053186982962597
-0.5471817531153766 0.7358479287866183 -0.398898426617638
22 27 5
27 34 5
34 20 5
20 3 5
29 40 39
7 40 16
40 7 39
35 12 6
12 35 0
17 35 33
35 17 0
17 10 25
0 17 25
14 4 6
12 14 6
14 12 22
4 41 16
41 7 16
7 41 3
31 37 33
31 35 6
35 31 33
18 29 15
29 18 40
26 30 34
27 26 34
30 38 19
28 38 10
32 27 22
12 32 22
32 12 0
32 26 27
32 0 25
26 32 25
11 28 15
29 11 15
38 11 19
11 38 28
28 24 15
37 24 33
24 18 15
18 24 37
21 30 19
30 21 34
21 20 34
20 2 3
2 7 3
7 2 39
21 2 20
1 17 33
17 1 10
24 1 33
1 28 10
1 24 28
23 22 5
23 14 22
3 23 5
41 23 3
14 23 4
23 41 4
4 8 6
8 31 6
8 4 16
31 8 37
26 13 30
13 38 30
38 13 10
10 13 25
13 26 25
9 29 39
9 11 29
11 9 19
9 21 19
2 9 39
9 2 21
36 8 16
40 36 16
18 36 40
36 18 37
8 36 37
