dom_dim 2
amb_dim 3
vertex_count 20
simplex_count 36
-0.2645882064306893 -0.9631345038846715 -0.048631352486010075
0.04121028560021625 0.9977362053515639 0.05314298534529843
-0.020620510855254622 0.08496053390538612 -0.9961709201791529
0.3880685815371681 -0.8205253009892943 0.41969156110191047
0.47335562268180426 0.6279519908653417 0.6177465108309195
0.6885660866026903 -0.06777448268896905 -0.7219995594714025
-0.8132541838462316 0.5806539764935933 0.03819151789046243
-0.3473469450913456 -0.6455112977035751 0.6801950192942877
-0.32820276382682717 0.6541197920828242 0.6814765171463759
0.7036945470419803 -0.13665596409324166 0.6972367832674414
0.4628401474429298 0.6886056187240286 -0.5582125937102321
0.9100722064425945 0.4142904867690589 0.01148789072737812
-0.0022481204762584057 -0.025154276661796888 0.9996810532964733
0.9179863649975436 -0.39562359426468047 -0.02798223257161799
-0.8921240881853414 -0.45138227378787427 -0.019200369516280884
-0.35192575851822655 -0.5710742866136537 -0.7416349638872737
0.3826110582467874 -0.77607894528528 -0.5013085365243257
-0.34053311786482093 0.7246568730125436 -0.5990906542694071
-0.8077054616799971 0.07113002435159492 -0.5852797679811291
-0.7994702221495595 0.009180313144828412 0.6006355681665021
7 3 12
9 3 13
3 9 12
9 4 12
3 16 13
4 8 12
6 8 1
8 4 1
10 5 2
16 5 13
5 16 2
11 9 13
9 11 4
5 11 13
11 5 10
4 11 1
11 10 1
17 10 2
17 6 1
10 17 1
16 15 2
7 0 3
0 16 3
0 15 16
0 7 14
15 0 14
19 7 12
8 19 12
7 19 14
19 6 14
19 8 6
18 17 2
15 18 2
18 15 14
6 18 14
17 18 6
