dom_dim 2
amb_dim 3
vertex_count 48
simplex_count 92
0.35936547935503055 0.8735039418320253 0.3284011508077325
-0.26969101920907246 -0.8070054757889693 -0.525365507246708
-0.6556196851170946 -0.41377020632220957 0.6316304654202787
0.7641062063038407 -0.1953737872731721 0.614793289435148
-0.8098229392449272 0.4753871807180187 -0.3437933034276279
0.8629567735018796 0.40389110087253605 -0.3036076179926922
-0.7512194810242233 0.0654142794324596 -0.6568030628552434
-0.5415462863077587 0.039892025510538366 0.8397239106319061
-0.4307642761668609 0.5107702358025263 -0.744013376624824
0.4039385787032672 -0.9147238793926 0.010670009565906519
0.021627493297300203 0.8437003422667868 -0.5363785827124179
0.250358310280934 -0.8296623141940983 -0.49898012072563486
-0.4957884911768802 -0.41300246429274157 -0.7639520511816663
-0.44785383292689196 0.8367164156275425 -0.31517072223176024
0.023724004269646697 -0.4905999717349243 -0.871061903285355
-0.4973791880354106 0.8454353957021854 0.19455830746366273
0.4698799353818531 0.8566244178836885 -0.21309024616574407
0.33285902690305763 0.5776285725669422 0.7453523330368172
-0.44978131277926325 -0.8213730716502928 0.350774924762768
-0.2889716233922757 0.021737577838419425 -0.9570908413435746
0.2443370636745109 -0.03140492643813249 -0.9691816805482518
0.5511205911212036 -0.41898887029442355 -0.7216054466338361
-0.12617128312704262 0.8211184158325854 0.5566375431954455
0.08735815801779273 -0.8824779624733081 0.4621700963678816
-0.8592081670816192 0.48396422953732743 0.1659516500327303
0.7192159890369468 -0.6354931126230589 -0.2808502535556317
-0.8988225823694324 0.04263362103988576 0.43623427167036377
-0.8828605012380238 -0.43934094769643306 0.16594236056819717
0.3892519564092271 0.07331861176076514 0.9182087429343415
0.9271968515474793 -0.1426503382339371 -0.34634791681513694
-0.8369994471128993 -0.3908927629994891 -0.38292920150770215
0.9833761053680884 0.10673691082273773 0.14689679118043877
0.7706214237951412 0.6168010581169227 0.1603093131848366
-0.0816775639702595 -0.13295321702213056 0.9877510909269351
0.587844088205883 -0.6851879021149931 0.43006611905223213
0.6756784270561267 0.10530040914651757 -0.7296372297549889
-0.9935052980813495 0.02526868341225474 -0.11094465432322638
0.903262785683878 -0.40609970933788425 0.138561777104246
-0.10598739680940097 -0.9932686890614321 -0.04673310440951843
-0.19781470533636097 -0.5881460722635715 0.784189734715791
-0.020961208019549746 0.999768426114404 -0.004870513637052758
-0.12420898964769898 0.39574624324045393 0.9099214459785885
0.49295337203055956 0.57813032024461 -0.6502017423981311
0.3260698229246507 -0.46734393398188756 0.821746991444581
-0.5837939473578861 0.5143585379282476 0.6281878074975773
0.7473223189066219 0.32439713959830335 0.579892962092547
0.06367646456031775 0.44295519204981987 -0.8942796015213619
-0.6076954065398508 -0.7814245827730164 -0.14171067111683186
11 9 38
9 11 25
18 47 38
6 19 12
19 6 8
19 46 20
46 19 8
46 35 20
35 46 42
7 26 2
26 7 44
41 7 33
7 41 44
6 30 36
30 6 12
27 26 36
26 27 2
30 27 36
27 30 47
27 18 2
18 27 47
14 19 20
19 14 12
1 30 12
30 1 47
14 1 12
1 14 11
47 1 38
1 11 38
9 23 38
23 18 38
4 6 36
6 4 8
16 5 42
5 35 42
45 3 31
0 16 40
45 0 17
29 5 31
5 29 35
35 21 20
21 14 20
21 29 25
29 21 35
11 21 25
14 21 11
10 46 8
16 10 40
10 16 42
46 10 42
24 26 44
15 24 44
4 24 15
26 24 36
24 4 36
22 41 17
0 22 17
22 15 44
41 22 44
15 22 40
22 0 40
28 41 33
41 28 17
28 45 17
45 28 3
37 9 25
3 37 31
37 29 31
29 37 25
43 28 33
28 43 3
32 5 16
0 32 16
32 0 45
5 32 31
32 45 31
13 15 40
10 13 40
13 4 15
4 13 8
13 10 8
39 43 33
43 39 23
7 39 33
39 7 2
18 39 2
23 39 18
34 23 9
34 43 23
37 34 9
34 37 3
43 34 3
