dom_dim 2
amb_dim 3
vertex_count 42
simplex_count 80
0. 0. -1.
0. 0. 1.
-0.8944271909999159 0. -0.44721359549995787
0.8944271909999159 0. 0.44721359549995787
0.723606797749979 -0.5257311121191336 -0.4472135954999579
0.723606797749979 0.5257311121191336 -0.4472135954999579
-0.723606797749979 -0.5257311121191336 0.4472135954999579
-0.723606797749979 0.5257311121191336 0.4472135954999579
-0.276393202250021 -0.8506508083520399 -0.44721359549995787
-0.276393202250021 0.8506508083520399 -0.44721359549995787
0.276393202250021 -0.8506508083520399 0.44721359549995787
0.276393202250021 0.8506508083520399 0.44721359549995787
-0.5257311121191336 0. -0.8506508083520397
0.42532540417601994 -0.30901699437494745 -0.8506508083520399
0.42532540417601994 0.30901699437494745 -0.8506508083520399
-0.16245984811645317 -0.5 -0.8506508083520399
-0.16245984811645317 0.5 -0.8506508083520399
0.5257311121191336 0. 0.8506508083520397
-0.42532540417601994 -0.30901699437494745 0.8506508083520399
-0.42532540417601994 0.30901699437494745 0.8506508083520399
0.16245984811645317 -0.5 0.8506508083520399
0.16245984811645317 0.5 0.8506508083520399
-0.9510565162951535 -0.3090169943749474 0.
-0.9510565162951535 0.3090169943749474 0.
-0.6881909602355867 -0.49999999999999994 -0.5257311121191335
-0.6881909602355867 0.49999999999999994 -0.5257311121191335
0.9510565162951535 -0.3090169943749474 0.
0.9510565162951535 0.3090169943749474 0.
0.6881909602355867 -0.49999999999999994 0.5257311121191335
0.6881909602355867 0.49999999999999994 0.5257311121191335
0.8506508083520399 0. -0.5257311121191336
0.2628655560595668 -0.8090169943749475 -0.5257311121191335
0.587785252292473 -0.8090169943749475 0.
0.2628655560595668 0.8090169943749475 -0.5257311121191335
0.587785252292473 0.8090169943749475 0.
-0.8506508083520399 0. 0.5257311121191336
-0.587785252292473 -0.8090169943749475 0.
-0.2628655560595668 -0.8090169943749475 0.5257311121191335
-0.587785252292473 0.8090169943749475 0.
-0.2628655560595668 0.8090169943749475 0.5257311121191335
0. -0.9999999999999999 0.
0. 0.9999999999999999 0.
5 27 30
3 26 27
4 30 26
26 30 27
3 27 29
5 34 27
11 29 34
34 29 27
10 40 32
8 31 40
4 32 31
31 32 40
8 40 36
10 37 40
6 36 37
37 36 40
1 20 17
10 28 20
3 17 28
28 17 20
1 17 21
3 29 17
11 21 29
29 21 17
9 33 16
5 14 33
0 16 14
14 16 33
5 30 14
4 13 30
0 14 13
13 14 30
9 16 25
0 12 16
2 25 12
12 25 16
0 15 12
8 24 15
2 12 24
24 12 15
2 23 25
7 38 23
9 25 38
38 25 23
7 23 35
2 22 23
6 35 22
22 35 23
11 39 21
7 19 39
1 21 19
19 21 39
1 19 18
7 35 19
6 18 35
35 18 19
0 13 15
4 31 13
8 15 31
31 15 13
2 24 22
8 36 24
6 22 36
36 22 24
3 28 26
10 32 28
4 26 32
32 26 28
10 20 37
1 18 20
6 37 18
18 37 20
9 41 33
11 34 41
5 33 34
34 33 41
11 41 39
9 38 41
7 39 38
38 39 41
